freq, min, max, avg
584, -517867, 234485, -31891.888129
585, -462326, 234485, -32682.002443
587, -462326, 234485, -31097.939912
588, -473679, 235735, -31196.466048
589, -473679, 235671, -30551.907181
590, -462326, 234485, -30219.184172
592, -502597, 235735, -29473.989741
594, -481871, 229244, -22223.805569
595, -442124, 234671, -6549.657548
596, -410526, 234478, -4397.863703
598, -370791, 243269, -2959.242306
600, -357088, 234671, -773.069858
